sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
3247,SO2,2018-05-30T06:03:52Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/30/S5P_RPRO_L2__SO2____20180530T060352_20180530T074522_03247_03_020401_20230117T164623/S5P_RPRO_L2__SO2____20180530T060352_20180530T074522_03247_03_020401_20230117T164623.nc,1.0
3276,HCHO,2018-06-01T07:07:21Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/01/S5P_RPRO_L2__HCHO___20180601T070721_20180601T084851_03276_03_020401_20230117T182331/S5P_RPRO_L2__HCHO___20180601T070721_20180601T084851_03276_03_020401_20230117T182331.nc,1.0
3276,NO2,2018-06-01T07:07:21Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/01/S5P_RPRO_L2__NO2____20180601T070721_20180601T084851_03276_03_020400_20221129T161619/S5P_RPRO_L2__NO2____20180601T070721_20180601T084851_03276_03_020400_20221129T161619.nc,1.0
3276,SO2,2018-06-01T07:07:21Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/01/S5P_RPRO_L2__SO2____20180601T070721_20180601T084851_03276_03_020401_20230117T195435/S5P_RPRO_L2__SO2____20180601T070721_20180601T084851_03276_03_020401_20230117T195435.nc,1.0
3290,HCHO,2018-06-02T06:48:20Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/02/S5P_RPRO_L2__HCHO___20180602T064820_20180602T082950_03290_03_020401_20230117T194306/S5P_RPRO_L2__HCHO___20180602T064820_20180602T082950_03290_03_020401_20230117T194306.nc,1.0
3290,NO2,2018-06-02T06:48:20Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/02/S5P_RPRO_L2__NO2____20180602T064820_20180602T082950_03290_03_020400_20221129T161648/S5P_RPRO_L2__NO2____20180602T064820_20180602T082950_03290_03_020400_20221129T161648.nc,1.0
3290,SO2,2018-06-02T06:48:20Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/02/S5P_RPRO_L2__SO2____20180602T064820_20180602T082950_03290_03_020401_20230117T214030/S5P_RPRO_L2__SO2____20180602T064820_20180602T082950_03290_03_020401_20230117T214030.nc,1.0
3304,HCHO,2018-06-03T06:29:19Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/03/S5P_RPRO_L2__HCHO___20180603T062919_20180603T081049_03304_03_020401_20230117T205848/S5P_RPRO_L2__HCHO___20180603T062919_20180603T081049_03304_03_020401_20230117T205848.nc,1.0
3304,NO2,2018-06-03T06:29:19Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/03/S5P_RPRO_L2__NO2____20180603T062919_20180603T081049_03304_03_020400_20221129T163324/S5P_RPRO_L2__NO2____20180603T062919_20180603T081049_03304_03_020400_20221129T163324.nc,1.0
3304,SO2,2018-06-03T06:29:19Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/03/S5P_RPRO_L2__SO2____20180603T062919_20180603T081049_03304_03_020401_20230117T231838/S5P_RPRO_L2__SO2____20180603T062919_20180603T081049_03304_03_020401_20230117T231838.nc,1.0
3318,HCHO,2018-06-04T06:10:18Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/04/S5P_RPRO_L2__HCHO___20180604T061018_20180604T075148_03318_03_020401_20230117T222036/S5P_RPRO_L2__HCHO___20180604T061018_20180604T075148_03318_03_020401_20230117T222036.nc,1.0
3318,NO2,2018-06-04T06:10:18Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/04/S5P_RPRO_L2__NO2____20180604T061018_20180604T075148_03318_03_020400_20221129T164935/S5P_RPRO_L2__NO2____20180604T061018_20180604T075148_03318_03_020400_20221129T164935.nc,1.0
