sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
3603,HCHO,2018-06-24T08:17:15Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/24/S5P_RPRO_L2__HCHO___20180624T081715_20180624T095845_03603_03_020401_20230120T091650/S5P_RPRO_L2__HCHO___20180624T081715_20180624T095845_03603_03_020401_20230120T091650.nc,1.0
3603,NO2,2018-06-24T08:17:15Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/24/S5P_RPRO_L2__NO2____20180624T081715_20180624T095845_03603_03_020400_20221129T192410/S5P_RPRO_L2__NO2____20180624T081715_20180624T095845_03603_03_020400_20221129T192410.nc,1.0
3603,SO2,2018-06-24T08:17:15Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/24/S5P_RPRO_L2__SO2____20180624T081715_20180624T095845_03603_03_020401_20230120T093315/S5P_RPRO_L2__SO2____20180624T081715_20180624T095845_03603_03_020401_20230120T093315.nc,1.0
3617,HCHO,2018-06-25T07:58:13Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/25/S5P_RPRO_L2__HCHO___20180625T075813_20180625T093943_03617_03_020401_20230120T110648/S5P_RPRO_L2__HCHO___20180625T075813_20180625T093943_03617_03_020401_20230120T110648.nc,1.0
3617,NO2,2018-06-25T07:58:13Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/25/S5P_RPRO_L2__NO2____20180625T075813_20180625T093943_03617_03_020400_20221129T192434/S5P_RPRO_L2__NO2____20180625T075813_20180625T093943_03617_03_020400_20221129T192434.nc,1.0
3617,SO2,2018-06-25T07:58:13Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/25/S5P_RPRO_L2__SO2____20180625T075813_20180625T093943_03617_03_020401_20230120T112004/S5P_RPRO_L2__SO2____20180625T075813_20180625T093943_03617_03_020401_20230120T112004.nc,1.0
3660,HCHO,2018-06-28T08:42:37Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/28/S5P_RPRO_L2__HCHO___20180628T084237_20180628T102407_03660_03_020401_20230120T153124/S5P_RPRO_L2__HCHO___20180628T084237_20180628T102407_03660_03_020401_20230120T153124.nc,1.0
3660,NO2,2018-06-28T08:42:37Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/28/S5P_RPRO_L2__NO2____20180628T084237_20180628T102407_03660_03_020400_20221129T195012/S5P_RPRO_L2__NO2____20180628T084237_20180628T102407_03660_03_020400_20221129T195012.nc,1.0
3660,SO2,2018-06-28T08:42:37Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/28/S5P_RPRO_L2__SO2____20180628T084237_20180628T102407_03660_03_020401_20230120T160431/S5P_RPRO_L2__SO2____20180628T084237_20180628T102407_03660_03_020401_20230120T160431.nc,1.0
3674,HCHO,2018-06-29T08:23:34Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/29/S5P_RPRO_L2__HCHO___20180629T082334_20180629T100504_03674_03_020401_20230120T165705/S5P_RPRO_L2__HCHO___20180629T082334_20180629T100504_03674_03_020401_20230120T165705.nc,1.0
3674,NO2,2018-06-29T08:23:34Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/29/S5P_RPRO_L2__NO2____20180629T082334_20180629T100504_03674_03_020400_20221129T195855/S5P_RPRO_L2__NO2____20180629T082334_20180629T100504_03674_03_020400_20221129T195855.nc,1.0
3674,SO2,2018-06-29T08:23:34Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/29/S5P_RPRO_L2__SO2____20180629T082334_20180629T100504_03674_03_020401_20230120T173823/S5P_RPRO_L2__SO2____20180629T082334_20180629T100504_03674_03_020401_20230120T173823.nc,1.0
3688,HCHO,2018-06-30T08:04:32Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/30/S5P_RPRO_L2__HCHO___20180630T080432_20180630T094602_03688_03_020401_20230120T181804/S5P_RPRO_L2__HCHO___20180630T080432_20180630T094602_03688_03_020401_20230120T181804.nc,1.0
3688,NO2,2018-06-30T08:04:32Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/30/S5P_RPRO_L2__NO2____20180630T080432_20180630T094602_03688_03_020400_20221129T200723/S5P_RPRO_L2__NO2____20180630T080432_20180630T094602_03688_03_020400_20221129T200723.nc,1.0
3688,SO2,2018-06-30T08:04:32Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/30/S5P_RPRO_L2__SO2____20180630T080432_20180630T094602_03688_03_020401_20230120T191529/S5P_RPRO_L2__SO2____20180630T080432_20180630T094602_03688_03_020401_20230120T191529.nc,1.0
3745,HCHO,2018-07-04T08:29:51Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/07/04/S5P_RPRO_L2__HCHO___20180704T082951_20180704T101121_03745_03_020401_20230121T050445/S5P_RPRO_L2__HCHO___20180704T082951_20180704T101121_03745_03_020401_20230121T050445.nc,1.0
3745,NO2,2018-07-04T08:29:51Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/07/04/S5P_RPRO_L2__NO2____20180704T082951_20180704T101121_03745_03_020400_20221105T050606/S5P_RPRO_L2__NO2____20180704T082951_20180704T101121_03745_03_020400_20221105T050606.nc,1.0
3745,SO2,2018-07-04T08:29:51Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/07/04/S5P_RPRO_L2__SO2____20180704T082951_20180704T101121_03745_03_020401_20230121T050443/S5P_RPRO_L2__SO2____20180704T082951_20180704T101121_03745_03_020401_20230121T050443.nc,1.0
3759,HCHO,2018-07-05T08:10:48Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/07/05/S5P_RPRO_L2__HCHO___20180705T081048_20180705T095218_03759_03_020401_20230121T065500/S5P_RPRO_L2__HCHO___20180705T081048_20180705T095218_03759_03_020401_20230121T065500.nc,1.0
3759,NO2,2018-07-05T08:10:48Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/07/05/S5P_RPRO_L2__NO2____20180705T081048_20180705T095218_03759_03_020400_20221105T052618/S5P_RPRO_L2__NO2____20180705T081048_20180705T095218_03759_03_020400_20221105T052618.nc,1.0
3759,SO2,2018-07-05T08:10:48Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/07/05/S5P_RPRO_L2__SO2____20180705T081048_20180705T095218_03759_03_020401_20230121T071032/S5P_RPRO_L2__SO2____20180705T081048_20180705T095218_03759_03_020401_20230121T071032.nc,1.0
3816,HCHO,2018-07-09T08:36:05Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/07/09/S5P_RPRO_L2__HCHO___20180709T083605_20180709T101735_03816_03_020401_20230121T132725/S5P_RPRO_L2__HCHO___20180709T083605_20180709T101735_03816_03_020401_20230121T132725.nc,1.0
3816,NO2,2018-07-09T08:36:05Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/07/09/S5P_RPRO_L2__NO2____20180709T083605_20180709T101735_03816_03_020400_20221105T060011/S5P_RPRO_L2__NO2____20180709T083605_20180709T101735_03816_03_020400_20221105T060011.nc,1.0
3816,SO2,2018-07-09T08:36:05Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/07/09/S5P_RPRO_L2__SO2____20180709T083605_20180709T101735_03816_03_020401_20230121T133959/S5P_RPRO_L2__SO2____20180709T083605_20180709T101735_03816_03_020401_20230121T133959.nc,1.0
3830,HCHO,2018-07-10T08:17:02Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/07/10/S5P_RPRO_L2__HCHO___20180710T081702_20180710T095831_03830_03_020401_20230121T150332/S5P_RPRO_L2__HCHO___20180710T081702_20180710T095831_03830_03_020401_20230121T150332.nc,1.0
3830,NO2,2018-07-10T08:17:02Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/07/10/S5P_RPRO_L2__NO2____20180710T081702_20180710T095831_03830_03_020400_20221105T060712/S5P_RPRO_L2__NO2____20180710T081702_20180710T095831_03830_03_020400_20221105T060712.nc,1.0
3830,SO2,2018-07-10T08:17:02Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/07/10/S5P_RPRO_L2__SO2____20180710T081702_20180710T095831_03830_03_020401_20230121T151523/S5P_RPRO_L2__SO2____20180710T081702_20180710T095831_03830_03_020401_20230121T151523.nc,1.0
3844,HCHO,2018-07-11T07:57:58Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/07/11/S5P_RPRO_L2__HCHO___20180711T075758_20180711T093928_03844_03_020401_20230121T163354/S5P_RPRO_L2__HCHO___20180711T075758_20180711T093928_03844_03_020401_20230121T163354.nc,1.0
3844,NO2,2018-07-11T07:57:58Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/07/11/S5P_RPRO_L2__NO2____20180711T075758_20180711T093928_03844_03_020400_20221105T061826/S5P_RPRO_L2__NO2____20180711T075758_20180711T093928_03844_03_020400_20221105T061826.nc,1.0
3844,SO2,2018-07-11T07:57:58Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/07/11/S5P_RPRO_L2__SO2____20180711T075758_20180711T093928_03844_03_020401_20230121T164504/S5P_RPRO_L2__SO2____20180711T075758_20180711T093928_03844_03_020401_20230121T164504.nc,1.0
3901,HCHO,2018-07-15T08:23:13Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/07/15/S5P_RPRO_L2__HCHO___20180715T082313_20180715T100442_03901_03_020401_20230121T215922/S5P_RPRO_L2__HCHO___20180715T082313_20180715T100442_03901_03_020401_20230121T215922.nc,1.0
3901,NO2,2018-07-15T08:23:13Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/07/15/S5P_RPRO_L2__NO2____20180715T082313_20180715T100442_03901_03_020400_20221105T064711/S5P_RPRO_L2__NO2____20180715T082313_20180715T100442_03901_03_020400_20221105T064711.nc,1.0
3901,SO2,2018-07-15T08:23:13Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/07/15/S5P_RPRO_L2__SO2____20180715T082313_20180715T100442_03901_03_020401_20230122T000102/S5P_RPRO_L2__SO2____20180715T082313_20180715T100442_03901_03_020401_20230122T000102.nc,1.0
3915,HCHO,2018-07-16T08:04:08Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/07/16/S5P_RPRO_L2__HCHO___20180716T080408_20180716T094538_03915_03_020401_20230121T234627/S5P_RPRO_L2__HCHO___20180716T080408_20180716T094538_03915_03_020401_20230121T234627.nc,1.0
