sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
3179,NO2,2018-05-25T11:01:54Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/25/S5P_RPRO_L2__NO2____20180525T110154_20180525T124324_03179_03_020400_20221129T150942/S5P_RPRO_L2__NO2____20180525T110154_20180525T124324_03179_03_020400_20221129T150942.nc,1.0
3179,SO2,2018-05-25T11:01:54Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/25/S5P_RPRO_L2__SO2____20180525T110154_20180525T124324_03179_03_020401_20230117T081133/S5P_RPRO_L2__SO2____20180525T110154_20180525T124324_03179_03_020401_20230117T081133.nc,1.0
3193,HCHO,2018-05-26T10:42:54Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/26/S5P_RPRO_L2__HCHO___20180526T104254_20180526T122424_03193_03_020401_20230117T091511/S5P_RPRO_L2__HCHO___20180526T104254_20180526T122424_03193_03_020401_20230117T091511.nc,1.0
3193,NO2,2018-05-26T10:42:54Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/26/S5P_RPRO_L2__NO2____20180526T104254_20180526T122424_03193_03_020400_20221129T151006/S5P_RPRO_L2__NO2____20180526T104254_20180526T122424_03193_03_020400_20221129T151006.nc,1.0
3193,SO2,2018-05-26T10:42:54Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/26/S5P_RPRO_L2__SO2____20180526T104254_20180526T122424_03193_03_020401_20230117T100202/S5P_RPRO_L2__SO2____20180526T104254_20180526T122424_03193_03_020401_20230117T100202.nc,1.0
3207,HCHO,2018-05-27T10:23:54Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/27/S5P_RPRO_L2__HCHO___20180527T102354_20180527T120524_03207_03_020401_20230117T104734/S5P_RPRO_L2__HCHO___20180527T102354_20180527T120524_03207_03_020401_20230117T104734.nc,1.0
3207,NO2,2018-05-27T10:23:54Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/27/S5P_RPRO_L2__NO2____20180527T102354_20180527T120524_03207_03_020400_20221129T151835/S5P_RPRO_L2__NO2____20180527T102354_20180527T120524_03207_03_020400_20221129T151835.nc,1.0
3207,SO2,2018-05-27T10:23:54Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/27/S5P_RPRO_L2__SO2____20180527T102354_20180527T120524_03207_03_020401_20230117T114723/S5P_RPRO_L2__SO2____20180527T102354_20180527T120524_03207_03_020401_20230117T114723.nc,1.0
3236,HCHO,2018-05-29T11:27:23Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/29/S5P_RPRO_L2__HCHO___20180529T112723_20180529T130853_03236_03_020401_20230117T135518/S5P_RPRO_L2__HCHO___20180529T112723_20180529T130853_03236_03_020401_20230117T135518.nc,1.0
3236,NO2,2018-05-29T11:27:23Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/29/S5P_RPRO_L2__NO2____20180529T112723_20180529T130853_03236_03_020400_20221129T154309/S5P_RPRO_L2__NO2____20180529T112723_20180529T130853_03236_03_020400_20221129T154309.nc,1.0
