sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
3180,NO2,2018-05-25T12:43:24Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/25/S5P_RPRO_L2__NO2____20180525T124324_20180525T142454_03180_03_020400_20221129T150943/S5P_RPRO_L2__NO2____20180525T124324_20180525T142454_03180_03_020400_20221129T150943.nc,1.0
3180,SO2,2018-05-25T12:43:24Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/25/S5P_RPRO_L2__SO2____20180525T124324_20180525T142454_03180_03_020401_20230117T081133/S5P_RPRO_L2__SO2____20180525T124324_20180525T142454_03180_03_020401_20230117T081133.nc,1.0
3194,HCHO,2018-05-26T12:24:24Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/26/S5P_RPRO_L2__HCHO___20180526T122424_20180526T140554_03194_03_020401_20230117T091512/S5P_RPRO_L2__HCHO___20180526T122424_20180526T140554_03194_03_020401_20230117T091512.nc,1.0
3194,NO2,2018-05-26T12:24:24Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/26/S5P_RPRO_L2__NO2____20180526T122424_20180526T140554_03194_03_020400_20221129T151008/S5P_RPRO_L2__NO2____20180526T122424_20180526T140554_03194_03_020400_20221129T151008.nc,1.0
3194,SO2,2018-05-26T12:24:24Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/26/S5P_RPRO_L2__SO2____20180526T122424_20180526T140554_03194_03_020401_20230117T100203/S5P_RPRO_L2__SO2____20180526T122424_20180526T140554_03194_03_020401_20230117T100203.nc,1.0
3208,HCHO,2018-05-27T12:05:24Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/27/S5P_RPRO_L2__HCHO___20180527T120524_20180527T134654_03208_03_020401_20230117T104735/S5P_RPRO_L2__HCHO___20180527T120524_20180527T134654_03208_03_020401_20230117T104735.nc,1.0
3208,NO2,2018-05-27T12:05:24Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/27/S5P_RPRO_L2__NO2____20180527T120524_20180527T134654_03208_03_020400_20221129T151837/S5P_RPRO_L2__NO2____20180527T120524_20180527T134654_03208_03_020400_20221129T151837.nc,1.0
3208,SO2,2018-05-27T12:05:24Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/27/S5P_RPRO_L2__SO2____20180527T120524_20180527T134654_03208_03_020401_20230117T114723/S5P_RPRO_L2__SO2____20180527T120524_20180527T134654_03208_03_020401_20230117T114723.nc,1.0
3236,HCHO,2018-05-29T11:27:23Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/29/S5P_RPRO_L2__HCHO___20180529T112723_20180529T130853_03236_03_020401_20230117T135518/S5P_RPRO_L2__HCHO___20180529T112723_20180529T130853_03236_03_020401_20230117T135518.nc,1.0
3236,NO2,2018-05-29T11:27:23Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/29/S5P_RPRO_L2__NO2____20180529T112723_20180529T130853_03236_03_020400_20221129T154309/S5P_RPRO_L2__NO2____20180529T112723_20180529T130853_03236_03_020400_20221129T154309.nc,1.0
3236,SO2,2018-05-29T11:27:23Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/29/S5P_RPRO_L2__SO2____20180529T112723_20180529T130853_03236_03_020401_20230117T151627/S5P_RPRO_L2__SO2____20180529T112723_20180529T130853_03236_03_020401_20230117T151627.nc,1.0
3237,HCHO,2018-05-29T13:08:53Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/29/S5P_RPRO_L2__HCHO___20180529T130853_20180529T145023_03237_03_020401_20230117T135519/S5P_RPRO_L2__HCHO___20180529T130853_20180529T145023_03237_03_020401_20230117T135519.nc,1.0
3237,NO2,2018-05-29T13:08:53Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/29/S5P_RPRO_L2__NO2____20180529T130853_20180529T145023_03237_03_020400_20221129T154311/S5P_RPRO_L2__NO2____20180529T130853_20180529T145023_03237_03_020400_20221129T154311.nc,1.0
3237,SO2,2018-05-29T13:08:53Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/29/S5P_RPRO_L2__SO2____20180529T130853_20180529T145023_03237_03_020401_20230117T151627/S5P_RPRO_L2__SO2____20180529T130853_20180529T145023_03237_03_020401_20230117T151627.nc,1.0
